Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
463,Nikola Vučević\vucevni01,C,30,ORL,39,39,33.9,10.1,20.5,.490,2.7,6.5,.416,7.3,14.0,.525,.556,2.2,2.5,.848,1.9,9.7,11.6,3.7,1.0,0.6,1.9,1.7,25.0
464,Dean Wade\wadede01,PF,24,CLE,32,5,12.0,1.2,2.9,.419,0.8,2.1,.388,0.4,0.8,.500,.559,0.3,0.4,.615,0.5,1.6,2.1,0.7,0.2,0.3,0.4,0.8,3.5
465,Moritz Wagner\wagnemo01,C,23,WAS,24,13,14.7,2.5,4.9,.500,0.5,1.7,.300,2.0,3.3,.603,.551,1.5,2.0,.771,0.5,2.5,3.0,1.2,0.9,0.3,0.8,2.4,7.0
466,Kemba Walker\walkeke02,PG,30,BOS,23,23,30.2,6.0,15.5,.390,2.8,7.9,.357,3.2,7.6,.425,.482,3.0,3.3,.920,0.3,3.3,3.6,4.5,1.1,0.3,2.2,1.3,17.9
467,Lonnie Walker\walkelo01,SG,22,SAS,35,29,26.5,4.3,10.3,.414,1.7,4.8,.347,2.6,5.6,.472,.494,1.0,1.3,.795,0.2,2.5,2.8,1.7,0.5,0.4,1.1,2.0,11.2
468,John Wall\walljo01,PG,30,HOU,25,25,31.7,7.5,17.7,.424,2.0,6.0,.340,5.5,11.7,.468,.482,4.0,5.3,.744,0.4,2.8,3.2,6.0,0.9,0.7,3.3,1.2,21.0
469,Brad Wanamaker\wanambr01,PG,31,GSW,37,0,16.2,1.6,4.4,.358,0.4,1.5,.232,1.2,2.9,.425,.398,1.3,1.5,.891,0.2,1.5,1.7,2.7,0.7,0.2,0.9,1.4,4.8
470,T.J. Warren\warretj01,SF,27,IND,4,4,29.3,6.8,12.8,.529,0.0,1.8,.000,6.8,11.0,.614,.529,2.0,2.5,.800,0.5,3.0,3.5,1.3,0.5,0.0,1.0,4.0,15.5
471,P.J. Washington\washipj01,PF,22,CHO,35,35,29.1,4.4,9.6,.455,1.4,3.5,.407,2.9,6.1,.484,.530,2.3,2.8,.798,1.5,4.8,6.3,2.9,1.1,1.1,2.1,2.7,12.4
472,Yuta Watanabe\watanyu01,SF,26,TOR,26,1,11.6,0.8,2.6,.313,0.5,1.3,.371,0.3,1.2,.250,.410,0.3,0.4,.900,0.8,2.2,3.0,0.5,0.4,0.5,0.3,0.9,2.5
473,Tremont Waters\watertr01,PG,23,BOS,10,1,9.8,1.0,3.1,.323,0.6,1.5,.400,0.4,1.6,.250,.419,0.7,0.8,.875,0.2,0.6,0.8,3.0,0.6,0.0,1.3,0.6,3.3
474,Paul Watson\watsopa01,SF,26,TOR,20,0,8.6,0.9,2.2,.419,0.7,1.6,.406,0.3,0.6,.455,.570,0.1,0.1,.500,0.2,1.2,1.3,0.4,0.3,0.1,0.3,1.0,2.5
475,Quinndary Weatherspoon\weathqu01,SG,24,SAS,7,0,5.4,0.3,1.0,.286,0.0,0.1,.000,0.3,0.9,.333,.286,0.3,0.3,1.000,0.0,0.4,0.4,0.6,0.6,0.1,1.0,1.0,0.9
476,Russell Westbrook\westbru01,PG,32,WAS,32,32,34.6,8.2,18.8,.438,1.3,4.0,.318,6.9,14.8,.470,.472,3.6,6.2,.586,1.6,7.8,9.4,10.1,1.2,0.3,4.8,2.9,21.3
477,Coby White\whiteco01,PG,20,CHI,39,36,32.5,5.7,13.8,.411,2.3,6.7,.344,3.4,7.1,.475,.494,1.8,2.1,.889,0.5,4.3,4.7,4.8,0.5,0.2,2.2,2.6,15.5
478,Derrick White\whitede01,SG,26,SAS,13,9,24.8,4.2,10.8,.386,1.8,5.4,.329,2.4,5.4,.443,.468,2.2,2.7,.829,0.2,2.0,2.2,3.5,0.8,1.2,1.3,2.5,12.3
479,Hassan Whiteside\whiteha01,C,31,SAC,24,1,14.8,3.5,6.0,.576,0.0,0.0,.000,3.5,6.0,.580,.576,1.3,2.4,.526,1.5,4.2,5.8,0.5,0.3,1.3,1.1,2.0,8.2
480,Greg Whittington\whittgr01,PF,27,DEN,4,0,3.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,Andrew Wiggins\wiggian01,PF,25,GSW,41,41,32.0,6.6,14.0,.470,1.8,5.0,.369,4.7,9.0,.526,.536,2.2,3.2,.684,1.1,3.4,4.5,2.1,0.9,1.0,1.8,2.3,17.2
482,Grant Williams\willigr01,PF,22,BOS,32,6,18.2,1.8,4.0,.450,0.8,2.1,.409,1.0,2.0,.492,.554,0.6,1.1,.543,1.1,1.9,3.0,0.8,0.4,0.4,0.8,2.7,5.1
483,Kenrich Williams\willike04,PF,26,OKC,40,6,19.4,2.9,5.0,.573,0.6,1.4,.429,2.3,3.6,.629,.633,0.5,0.8,.545,1.3,2.7,4.0,1.8,0.7,0.2,0.9,1.8,6.8
484,Lou Williams\willilo02,PG,34,LAC,39,3,22.3,4.4,10.4,.423,1.1,2.8,.394,3.3,7.6,.434,.476,2.4,2.8,.852,0.4,1.8,2.2,3.6,0.9,0.1,1.5,1.0,12.2
485,Patrick Williams\willipa01,PF,19,CHI,38,38,28.3,3.8,8.1,.464,0.9,2.3,.393,2.8,5.8,.493,.521,1.5,1.9,.781,1.0,3.9,4.9,1.3,0.7,0.7,1.5,2.3,9.9
486,Robert Williams\williro04,C,23,BOS,33,0,16.7,3.3,4.5,.727,0.0,0.0,.000,3.3,4.5,.732,.727,0.8,1.3,.636,2.4,4.0,6.4,1.2,0.9,1.7,1.0,1.9,7.5
487,Zion Williamson\willizi01,PF,20,NOP,38,38,32.6,9.9,16.0,.620,0.2,0.5,.316,9.8,15.5,.630,.625,5.6,8.0,.697,2.7,4.2,6.9,3.5,0.9,0.7,2.5,2.4,25.6
488,D.J. Wilson\wilsodj01,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
489,Dylan Windler\windldy01,SF,24,CLE,26,0,17.9,2.0,4.6,.445,1.0,2.7,.352,1.1,1.8,.583,.550,0.8,1.0,.808,0.8,3.1,3.9,1.2,0.6,0.5,0.9,1.2,5.8
490,Justise Winslow\winslju01,SF,24,MEM,10,0,22.0,3.6,10.0,.360,0.4,2.5,.160,3.2,7.5,.427,.380,0.8,1.4,.571,0.8,4.4,5.2,1.9,0.5,0.6,1.5,2.5,8.4
491,Cassius Winston\winstca01,PG,22,WAS,8,0,6.4,0.6,1.5,.417,0.5,1.1,.444,0.1,0.4,.333,.583,0.3,0.3,1.000,0.0,0.6,0.6,1.0,0.0,0.1,0.1,0.5,2.0
492,James Wiseman\wisemja01,C,19,GSW,29,17,20.8,4.9,9.4,.526,0.4,1.0,.367,4.6,8.3,.545,.546,1.6,2.6,.613,1.5,4.5,6.0,0.6,0.3,1.0,1.5,3.2,11.8
493,Christian Wood\woodch01,C,25,HOU,18,18,30.9,8.7,15.5,.563,1.8,4.3,.416,6.9,11.2,.619,.620,2.7,4.2,.653,1.7,8.4,10.2,1.3,0.9,1.5,1.9,1.9,21.9
494,Robert Woodard\woodaro01,SF,21,SAC,6,0,2.8,1.0,1.8,.545,0.2,0.5,.333,0.8,1.3,.625,.591,0.0,0.3,.000,0.5,0.8,1.3,0.0,0.0,0.0,0.2,0.0,2.2
495,Delon Wright\wrighde01,SG,28,DET,33,28,29.4,3.9,8.2,.471,0.9,2.5,.369,2.9,5.7,.516,.528,2.0,2.6,.779,1.1,3.6,4.7,5.0,1.5,0.5,1.3,1.3,10.7
496,Thaddeus Young\youngth01,PF,32,CHI,35,3,25.1,5.7,9.5,.601,0.1,0.6,.227,5.6,8.9,.627,.608,0.8,1.4,.540,2.5,3.8,6.3,4.4,1.3,0.6,2.0,2.6,12.3
497,Trae Young\youngtr01,PG,22,ATL,38,38,34.5,7.6,17.7,.429,2.5,6.7,.375,5.1,11.1,.462,.500,8.3,9.5,.873,0.7,3.3,4.0,9.4,0.8,0.2,4.4,2.0,26.0
498,Cody Zeller\zelleco01,C,28,CHO,22,19,23.0,3.9,7.8,.500,0.1,0.9,.150,3.8,6.9,.546,.509,1.5,2.0,.767,2.5,4.8,7.4,2.5,0.7,0.5,1.1,2.4,9.5
499,Ivica Zubac\zubaciv01,C,23,LAC,42,3,20.3,3.3,4.9,.662,0.0,0.0,.000,3.3,4.9,.668,.662,1.9,2.3,.813,2.5,4.5,7.0,1.1,0.4,0.8,1.0,2.4,8.4
