Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
400,Glenn Robinson III\robingl02,SF,27,SAC,23,2,16.0,1.8,4.3,.424,0.7,1.9,.364,1.1,2.4,.473,.505,0.9,1.0,.913,0.5,1.5,2.0,0.9,0.2,0.1,0.5,1.0,5.3
401,Jerome Robinson\robinje01,SG,23,WAS,13,3,17.0,1.7,5.2,.328,0.7,2.4,.290,1.0,2.8,.361,.396,1.2,1.3,.882,0.2,2.4,2.5,1.4,0.5,0.2,0.8,1.6,5.2
402,Mitchell Robinson\robinmi01,C,22,NYK,27,27,28.8,3.8,5.8,.660,0.0,0.0,,3.8,5.8,.660,.660,0.8,1.7,.478,3.6,4.8,8.4,0.5,1.2,1.5,0.8,2.9,8.4
403,Isaiah Roby\robyis01,PF,22,OKC,34,14,22.1,3.4,6.4,.532,0.6,1.7,.351,2.8,4.7,.597,.579,1.4,1.9,.727,1.5,3.9,5.4,1.8,0.9,0.6,1.6,2.7,8.8
404,Rajon Rondo\rondora01,PG,34,ATL,24,2,14.9,1.6,4.0,.400,0.7,1.8,.405,0.9,2.2,.396,.489,0.0,0.1,.500,0.2,1.9,2.0,3.5,0.7,0.1,1.5,0.8,3.9
405,Derrick Rose\rosede01,PG,32,TOT,25,3,23.5,5.0,11.7,.430,0.9,2.4,.377,4.1,9.3,.444,.469,2.5,3.0,.851,0.3,1.9,2.2,4.5,1.2,0.4,1.9,1.2,13.5
405,Derrick Rose\rosede01,PG,32,DET,15,0,22.8,5.3,12.3,.429,0.9,2.6,.333,4.4,9.7,.455,.465,2.8,3.3,.840,0.4,1.5,1.9,4.2,1.2,0.3,1.9,1.1,14.2
405,Derrick Rose\rosede01,PG,32,NYK,10,3,24.6,4.7,10.9,.431,1.0,2.2,.455,3.7,8.7,.425,.477,2.1,2.4,.875,0.1,2.5,2.6,4.9,1.1,0.6,1.9,1.2,12.5
406,Terrence Ross\rosste01,SG,29,ORL,36,2,29.6,5.7,13.8,.414,2.3,6.3,.360,3.4,7.5,.459,.496,2.3,2.6,.894,0.3,3.2,3.5,2.3,1.1,0.5,1.7,1.9,16.0
407,Terry Rozier\roziete01,SG,26,CHO,37,37,33.0,7.3,15.1,.483,3.4,7.9,.427,3.9,7.2,.545,.595,2.5,3.0,.836,0.5,3.3,3.8,3.2,1.4,0.3,1.9,1.9,20.5
